iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,4.216758264594e+01,1.479803028214e+02,5.679132199605e+01,4.216758264594e+01,"[-26.54727117150503, -99.73275768613797, -320.91607136535157, -158.98582786184636, -160.3290602085031]"
2,80,1.518909573878e+01,6.252708523582e+01,2.892314404968e+01,1.518909573878e+01,"[-37.91644585143399, -92.02387751188525, -161.71667222257338, 123.63900516187962, -78.33801599929097]"
3,120,4.601745141506e+00,2.793209818433e+01,1.616061424487e+01,4.601745141506e+00,"[25.545434102337822, -4.607073792279834, -106.03447037203588, -48.70354278972607, 10.290889362532255]"
4,160,5.201627502206e+00,3.025027613715e+01,1.301619992175e+01,4.601745141506e+00,"[25.545434102337822, -4.607073792279834, -106.03447037203588, -48.70354278972607, 10.290889362532255]"
5,200,2.091764411879e+00,1.619746280780e+01,9.269593811573e+00,2.091764411879e+00,"[-0.7315628443401394, 12.876719314589863, -32.99155771364413, 17.68976901971974, 37.164096251734115]"
6,240,1.925194210021e+00,1.535595396185e+01,8.223081812927e+00,1.925194210021e+00,"[-25.25663359763749, -5.169125747033057, -44.00109045238647, 55.27105528596124, 12.57443421371866]"
7,280,2.539183645284e+00,1.268746473082e+01,8.153862745075e+00,1.925194210021e+00,"[-25.25663359763749, -5.169125747033057, -44.00109045238647, 55.27105528596124, 12.57443421371866]"
8,320,2.292650952038e+00,1.143856129178e+01,7.412181664316e+00,1.925194210021e+00,"[-25.25663359763749, -5.169125747033057, -44.00109045238647, 55.27105528596124, 12.57443421371866]"
9,360,2.390885469941e+00,1.121937835798e+01,7.530189209908e+00,1.925194210021e+00,"[-25.25663359763749, -5.169125747033057, -44.00109045238647, 55.27105528596124, 12.57443421371866]"
10,400,1.713879594087e+00,1.056682502624e+01,5.983081573601e+00,1.713879594087e+00,"[-24.172837738491694, -25.18274951924171, 26.284123620071952, -0.636789964174298, 0.03381051087441023]"
11,440,1.750336808152e+00,7.379974691736e+00,5.690226164573e+00,1.713879594087e+00,"[-24.172837738491694, -25.18274951924171, 26.284123620071952, -0.636789964174298, 0.03381051087441023]"
12,480,1.701681654758e+00,8.953391887685e+00,5.902842704955e+00,1.701681654758e+00,"[7.362455537234876, -16.929928841930256, -44.72209536978497, -14.298283474261105, 29.59355770229814]"
